device_model_1,count,proportion
1.0,5583,34.62755070396328
2.0,4529,28.09030577435961
3.0,990,6.140296470880109
4.0,176,1.091608261489797
5.0,112,0.6946598027662345
6.0,1826,11.325435712956645
8.0,2481,15.387955095205609
9.0,33,0.20467654902933696
10.0,43,0.26669974570489363
11.0,278,1.724244867580475
12.0,11,0.06822551634311232
,61,0.3783414997208956
