access_site,count,proportion
1.0,15618,96.86782856788439
3.0,13,0.08063015567822365
4.0,36,0.22328350803200395
6.0,2,0.012404639335111331
8.0,7,0.04341623767288966
9.0,6,0.037213918005333996
10.0,11,0.06822551634311232
11.0,407,2.524344104695156
,23,0.14265335235378032
