prior_cardio_surg,count,proportion
1.0,12603,78.16783477020405
2.0,3152,19.54971159213546
3.0,256,1.5877938348942504
4.0,25,0.15505799168889164
5.0,12,0.07442783601066799
,75,0.46517397506667496
