av_disease_etiology,count,proportion
1.0,14616,90.65310426099362
2.0,14,0.08683247534577931
3.0,158,0.9799665074737953
4.0,36,0.22328350803200395
8.0,1,0.006202319667555666
9.0,1,0.006202319667555666
10.0,49,0.30391366371022766
11.0,838,5.197543881411648
,410,2.542951063697823
