aortic_insuff,count,proportion
1.0,2199,13.63890094895491
2.0,4308,26.71959312782981
3.0,6301,39.08081622526825
4.0,1898,11.772002729020652
5.0,343,2.127395645971593
6.0,325,2.0157538919555913
,749,4.645537430999194
