prior_carotid_sten,count,proportion
1.0,6754,41.89046703467097
2.0,314,1.947528375612479
3.0,317,1.9661353346151462
4.0,1031,6.394591577249892
5.0,7592,47.08801091608261
,115,0.7132667617689016
