,model,test_ci,test_ipcw,test_auc,test_brier,n_features
0,cph,0.7223756906077348,0.7280937684332184,0.7098469109038302,0.0447536710888399,73
1,cph,0.7223756906077348,0.7280937684332184,0.7098469109038302,0.0447536710888399,73
2,lasso_cph,0.7226210641295572,0.7283889084025313,0.701552617366152,0.0447503089321081,73
3,dt,0.6337760610426,0.6417366238937323,0.6236896658914064,0.0459346986071032,73
4,svm,0.7200248539631782,0.7261111540198936,,,75
5,rbfsvm,0.6970270227485,0.6990938787441731,,,75
6,rbfsvm,0.6970270227485,0.6990938787441731,,,75
7,lasvm,0.7308687805727493,0.7354886973124315,,,75
8,rf,0.7167320996058193,0.7192546212903802,0.6926718270025054,0.0447528075745669,75
9,rf,0.7171674397251817,0.722511226070244,0.6953728423498157,0.0450451011003901,15
10,gbm,0.7301999398439107,0.7358754368220292,0.7094612219790836,0.0452699743527043,75
11,gbm,0.716328420586047,0.7236094898281741,0.6943176644766603,0.0447322022594479,10
12,gbm,0.6904434928525067,0.6969116306902471,0.6761636091139405,0.0449437455197042,5
13,rf,0.6991681046082731,0.7050027450042483,0.6665028139933461,0.0454393778931284,5
14,rf,0.7086110275609872,0.713755145482472,0.679914771820028,0.0453589927964573,10
15,svm,0.6566749513210594,0.6623797252782431,,,5
16,svm,0.6600349855150469,0.6636278681401326,,,10
17,svm,0.6925351042441704,0.6969336515138778,,,15
18,svm,0.7026904019376593,0.7084238057710855,,,20
19,lapsvm,0.702128417419937,0.704920081521115,,,20
20,lapsvm,0.6693196029698112,0.672826162036324,,,15
21,lapsvm,0.6276298500846934,0.6317242928030543,,,10
22,lapsvm,0.5990200889676899,0.5991451270165378,,,5
23,cph,0.7224310975320173,0.7280886309424808,0.7099303590622272,0.044749996742343,75
24,cph,0.6383214076524878,0.642979497744094,0.6494495553539431,0.0458264516907469,5
25,cph,0.6684172616314965,0.6744642881928379,0.6657688841940114,0.0455696691001917,10
26,cph,0.6729131377732749,0.6777819703255299,0.6606504602046113,0.0456227297731319,15
27,cph,0.7022788076429894,0.708751002817989,0.6815639610912332,0.045407777906184,20
28,lasso_cph,0.7229574633127008,0.728669606411881,0.7037885729268384,0.0447374944126506,75
29,lasso_cph,0.7127032246829932,0.719241163979351,0.6832902603262612,0.0454508326579223,20
30,lasso_cph,0.6913240671848533,0.6973873906005809,0.6735549460697627,0.0456355415334798,15
31,lasso_cph,0.6414103436812361,0.6453810543258732,0.6455405697534125,0.0455602724330159,10
32,lasso_cph,0.6256629042726654,0.6304546322133989,0.6188961245800231,0.0459162649986053,5
33,gbm,0.7199457012142032,0.725895782932578,0.6923207875437974,0.0446544842923397,15
34,gbm,0.7250292865171207,0.731068156394719,0.6985158872257119,0.0444762555784738,20
35,rf,0.7176383985815827,0.7211824750274005,0.7084029562325779,0.0448414354467033,20
36,dt,0.6574941822729503,0.6645906348429487,0.619048266170641,0.0457864569989646,5
37,dt,0.679987414712913,0.6882098113495773,0.6342047977286743,0.0456146341940625,10
38,dt,0.6379671991008248,0.6479236355873408,0.5549584359836179,0.047757964647566,15
39,dt,0.6768747328594722,0.6812238297809253,0.646321177293759,0.0454147836320684,20
40,elastic_cph,0.7223954787949786,0.7278483874310832,0.6978929310602071,0.0448357263532457,75
41,elastic_cph,0.709291741202172,0.715208233596541,0.6913454946938308,0.045206560164436,20
42,elastic_cph,0.7158297582675046,0.7228775485244803,0.6878126726892468,0.0454093618621137,15
43,elastic_cph,0.674029191533822,0.679064373626722,0.6610410251739144,0.0458379016400493,10
44,elastic_cph,0.6369124887207332,0.6418464292689767,0.6298041895685179,0.0457322989515749,5
45,ridge_cph,0.7235511089300132,0.7280710246631379,0.7002889590121301,0.044965708389451894,75
46,ridge_cph,0.7192729028479159,0.7264355335907198,0.7029934223180998,0.04527521091102727,20
47,ridge_cph,0.7019661542845383,0.7080432542650302,0.6864178586095817,0.04553887831544158,15
48,ridge_cph,0.6774565055644383,0.6826316279806225,0.6626472320456763,0.04698581534658216,10
49,ridge_cph,0.6738827589482183,0.6802722031232838,0.6471980232390273,0.046508737198978814,5
