,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_split,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.749685430526734,0.07539750400350588,0.5977034091949462,0.043700490021472645,6,5,70,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 70}",0.687443418320088,0.664942081115881,0.6900081731221198,0.653258438596207,0.6822191878784043,0.6755742598065401,0.014173277295694895,17,0.86319742831974,0.8628550072505817,0.8488538057087668,0.8550122312797823,0.8590227990866294,0.8577882543291,0.0053663008731605856
1,5.534240102767944,0.14012779131638783,0.715404748916626,0.03701676480736828,6,5,80,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 80}",0.6889155020138354,0.6768104697845405,0.6927455307522332,0.648671281696258,0.6802842658601912,0.6774854100214116,0.015505234065582896,8,0.8633583517681317,0.8643961565308341,0.8483186589493762,0.8517916064063107,0.8586590859352486,0.8573047719179803,0.0063231788118086095
2,6.2588122367858885,0.2597928551727972,0.7763113021850586,0.06961830591033791,6,5,90,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 90}",0.6892732155896639,0.6780937723605029,0.6899630630476562,0.6477070422477951,0.6885098562125372,0.6787093898916311,0.016098529481677334,3,0.8616578524455623,0.8636392274549927,0.8470462360964325,0.8524968393578173,0.8600206510595525,0.8569721612828716,0.006232997033109267
3,4.879851865768432,0.1722344195518986,0.6994244575500488,0.10752559404189493,6,15,70,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 15, 'estimator__n_estimators': 70}",0.6809713533099473,0.6780510893002969,0.6808430494858277,0.6513777047708346,0.7007420613109884,0.6783970516355791,0.01576118134482961,4,0.8496944989539856,0.8534154519424162,0.8348213392487882,0.84618737948581,0.8366875345810111,0.8441612408424023,0.007258824330086609
4,5.34049015045166,0.06862666907366567,0.6322221279144287,0.012973563032851014,6,15,80,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 15, 'estimator__n_estimators': 80}",0.6838407495336442,0.6802647412265791,0.6818988819779055,0.6533236230991899,0.70261948264446,0.6803894956963557,0.015753975643201648,1,0.8493596306997803,0.853349129671594,0.8367630960526609,0.8444747752427729,0.8355714718740491,0.8439036207081715,0.00692421401545256
5,5.960843181610107,0.059909306501017306,0.7053300857543945,0.014186454295432485,6,15,90,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 15, 'estimator__n_estimators': 90}",0.6839633781860769,0.6800655662485995,0.6835735006132209,0.6514322853885127,0.701460020628567,0.6800989502129955,0.016155992200977094,2,0.8472226530990712,0.8512418957705256,0.8349285612563726,0.8435022469536354,0.837798604212594,0.8429387922584397,0.005969854381490027
6,4.760783433914185,0.16727946145256414,0.6450414180755615,0.0766892783971977,6,25,70,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 25, 'estimator__n_estimators': 70}",0.6701048564148046,0.6686054271609634,0.679805095655471,0.6500232512674174,0.7060262314681719,0.6749129723933657,0.018299557831364194,22,0.8423004321251156,0.8456958578949106,0.8326228321755975,0.8364229849127078,0.8312144693848479,0.8376513152986359,0.005559790935333112
7,5.316659879684448,0.015431261590489609,0.6258849620819091,0.009740256295587045,6,25,80,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 25, 'estimator__n_estimators': 80}",0.6698375701487984,0.6709855084884242,0.6808657593344545,0.6490527021551143,0.7063226391591698,0.6754128358571923,0.018604793891665014,19,0.8409428223393154,0.8431991148976249,0.8319477066725972,0.8352125470350819,0.8329238870731549,0.8368452156035548,0.0044539967450987665
8,5.936129951477051,0.05092966366406975,0.7103702068328858,0.016489561252291604,6,25,90,"{'estimator__max_depth': 6, 'estimator__min_samples_split': 25, 'estimator__n_estimators': 90}",0.6746435332050759,0.6720349102154348,0.6821897905240423,0.6481607046121252,0.7074388975116038,0.6768935672136565,0.01905420572214328,10,0.8389539491167043,0.8433617941495732,0.8310487917298429,0.8357767137029504,0.8327433228436657,0.8363769143085472,0.004413202300152171
9,6.126129007339477,0.09791041549739345,0.5574368953704834,0.011094775110077252,8,5,70,"{'estimator__max_depth': 8, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 70}",0.6682956456448764,0.6802559895559861,0.6826567274551633,0.6324459021427432,0.7013421899649932,0.6729992909527525,0.02287333513938199,26,0.929381317980924,0.9318132114496422,0.9142037296809192,0.914502230434818,0.9154857619658309,0.9210772503024269,0.007822522810137535
10,7.03476037979126,0.09428802844772263,0.6311198234558105,0.00939162687968788,8,5,80,"{'estimator__max_depth': 8, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 80}",0.6749543363771695,0.6855345522740594,0.6867505555661158,0.6334721961441905,0.698479937925487,0.6758383156574044,0.02245620869718563,15,0.9300821186659445,0.9310278676554683,0.9151362336920005,0.9125533532468398,0.9173746060568008,0.9212348358634108,0.007767114621209759
11,8.249588108062744,0.4705626865450783,0.7350570678710937,0.04389635839292911,8,5,90,"{'estimator__max_depth': 8, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 90}",0.6731408545586416,0.6837165516906933,0.6915440001279506,0.6336555993091606,0.7007914692704548,0.6765696949913801,0.023303983690201792,11,0.9306055857653888,0.9300620026841563,0.9161609075446573,0.9128143999149766,0.9183759706337721,0.9216037733085901,0.007346711565880093
