,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_split,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.2244050979614258,0.029619092265714953,0.11423439979553222,0.010032866017468806,10,10,10,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10}",0.6287627865840568,0.6065705268410088,0.6679662022427942,0.6614882348375442,0.6931508260685432,0.6515877153147895,0.030467333083310677,223,0.887450039321013,0.9193499529170257,0.9145074755832505,0.8922761711753823,0.8905201248264787,0.90082075276463,0.013330764631094082
1,2.397474765777588,0.09625618759429096,0.20803709030151368,0.016001899055037433,10,10,20,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20}",0.6416089252267236,0.6582519869195977,0.6711261472982493,0.6716189675350882,0.7147500854638982,0.6714712224887114,0.02424749831510804,175,0.917469908567556,0.933460332032726,0.9308085853153899,0.920908334974401,0.9193369847882437,0.9243968291356632,0.006465470546889391
2,3.8552916049957275,0.29922690878481073,0.37030987739562987,0.07726122285553155,10,10,30,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 30}",0.6555050391588404,0.6564280613297188,0.683834472004948,0.654725416023487,0.7181273395845265,0.6737240656203042,0.024762489503806093,162,0.9275372347103893,0.9489728585959478,0.9428430427852382,0.9344729255551824,0.9368398592007353,0.9381331841694985,0.00730788118937597
3,4.799592208862305,0.05797412202483738,0.46661152839660647,0.060045624446358754,10,10,40,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 40}",0.6671210085143158,0.6615867769401468,0.686183007131436,0.6679537255464566,0.7286384868533937,0.6822966009971497,0.024607267354279407,74,0.9351734030806144,0.9564767735186378,0.946858110728732,0.9397346146213481,0.9434270693258718,0.9443339942550407,0.007207100508861461
4,5.963988971710205,0.06803764598424585,0.5645497798919678,0.05599109700556259,10,10,50,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.6645109734594542,0.6625632711157512,0.685496829027195,0.6698470908365755,0.7270062498508064,0.6818848828579565,0.023954414037028082,80,0.9448329779054593,0.9560368219362766,0.9470031336824721,0.9419762714561252,0.9452272869310034,0.9470152983822672,0.004790393202884232
5,7.597073888778686,0.30564190625682575,0.8255925178527832,0.12932713291424774,10,10,60,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 60}",0.6626069754460662,0.6606131955043165,0.6990841270396735,0.6647960937098312,0.7240493341664335,0.6822299451732643,0.025255529003216436,76,0.9458196520966226,0.9581310040708358,0.9462159228876442,0.9440939805437372,0.9479499282463756,0.948442097569043,0.004997125883472068
6,8.38034701347351,0.058465697907849445,0.7497562885284423,0.05179829652261907,10,10,70,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 70}",0.6804462064877107,0.6723035287169459,0.6979504211175891,0.665387004411358,0.7329164062843754,0.6898007134035958,0.024145675251559976,13,0.9471551437689155,0.9598645257528181,0.9480079922775596,0.9448012505889818,0.9494571497754002,0.9498572124327349,0.005226660701210612
7,9.522371387481689,0.08444092684302068,0.9321402072906494,0.032179676341253086,10,10,80,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 80}",0.6701565778830956,0.6682301043247577,0.7016216062731536,0.6667152894635262,0.7283351928692421,0.6870117541627551,0.024371574354395294,26,0.9494106022690382,0.9607733820599158,0.9494112988844583,0.9424280942487947,0.9477998906571208,0.9499646536238655,0.0059821018161152996
8,10.861510086059571,0.2826799618745124,0.9731131553649902,0.10980978923519541,10,10,90,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 90}",0.6703469237426831,0.6647089521407816,0.708700009916408,0.6668674626952701,0.7265900467341316,0.6874426790458548,0.02536461010508561,23,0.949569381108789,0.9607911437692909,0.9488358069168636,0.9427782162414508,0.9485426878264641,0.9501034471725717,0.005868798426468772
9,11.859430265426635,0.09253013531430251,1.0495651721954347,0.09659251655990969,10,10,100,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.672983228768259,0.6599706396489756,0.7046785633417808,0.6688193831435649,0.7272581868176156,0.6867420003440392,0.025260686509230083,27,0.9511424468986425,0.9608336985255678,0.94961518200235,0.9446249420034162,0.9476067851527255,0.9507646109165403,0.005486672398709695
10,1.1629883289337157,0.03362920744626765,0.13836312294006348,0.006034568668942305,10,20,10,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 20, 'estimator__n_estimators': 10}",0.6458828307319305,0.6220449910969422,0.6526682610159122,0.645955623034206,0.6902796183495513,0.6513662648457085,0.022068187345973274,224,0.8922712373139491,0.9042701948085732,0.895643181836428,0.8981461346125166,0.8839101195057005,0.8948481736154335,0.006731488640457737
11,2.2986364364624023,0.05270541027493477,0.23770365715026856,0.027417081809528347,10,20,20,"{'estimator__max_depth': 10, 'estimator__min_samples_split': 20, 'estimator__n_estimators': 20}",0.6570708892926395,0.6228093901403454,0.6626984956112338,0.6653242558332857,0.6933345552114911,0.6602475172177991,0.022531031832978936,206,0.9145899156006052,0.9251829300036292,0.9154909917560748,0.9174173505550662,0.9135093624580642,0.9172381100746879,0.004174235403840578
